"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 24 20:24:32 BDT 2025","Thu Jul 24 20:24:56 BDT 2025","23395","Daraz Product Order","Product order Successfully","TestRunner.orderTestRunner","TestRunner.orderTestRunner","doProductSelect","product select successfully",""
"passed","Thu Jul 24 20:23:46 BDT 2025","Thu Jul 24 20:24:32 BDT 2025","46376","Daraz Product Order","Product order Successfully","TestRunner.orderTestRunner","TestRunner.orderTestRunner","doOrderCreation","Search product successfully",""
"passed","Thu Jul 24 20:23:10 BDT 2025","Thu Jul 24 20:23:13 BDT 2025","3233","Daraz Product Order","Login Successfully","TestRunner.LoginTestRunner","TestRunner.LoginTestRunner","doLoginWithValidCred","Login With Valid Credential",""
"passed","Thu Jul 24 20:23:43 BDT 2025","Thu Jul 24 20:23:46 BDT 2025","3243","Daraz Product Order","Product order Successfully","TestRunner.orderTestRunner","TestRunner.orderTestRunner","doLoginWithValidCred","Login With Valid Credential",""
"passed","Thu Jul 24 20:24:56 BDT 2025","Thu Jul 24 20:25:25 BDT 2025","28974","Daraz Product Order","Product order Successfully","TestRunner.orderTestRunner","TestRunner.orderTestRunner","doAddToCartSelect","Product Add to Cart successfully",""
"broken","Thu Jul 24 18:31:32 BDT 2025","Thu Jul 24 18:31:32 BDT 2025","10","Default Suite","softwareAutomationDummy","TestRunner.orderTestRunner","TestRunner.orderTestRunner","startBrowser","startBrowser",""
